service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
DU,1,1,1,1,1,0,0,20220715,20220930
DS,0,0,0,0,0,1,0,20220715,20220930
DDF,0,0,0,0,0,0,1,20220715,20220930
FGInvernoA,1,1,1,1,0,0,1,20220915,20230531
FGInvernoB,0,0,0,0,1,1,0,20220915,20230531
FGVeraoA,1,1,1,0,0,0,1,20220601,20220914
FGVeraoB,0,0,0,1,1,1,0,20220601,20220914
AU,1,1,1,1,1,0,0,20220715,20220930
AS,0,0,0,0,0,1,0,20220715,20220930
ADF,0,0,0,0,0,0,1,20220715,20220930
AUT,1,1,1,1,1,0,0,20220715,20220930
AST,0,0,0,0,0,1,0,20220715,20220930
ADFT,0,0,0,0,0,0,1,20220715,20220930
BU,1,1,1,1,1,0,0,20220715,20220930
BS,0,0,0,0,0,1,0,20220715,20220930
BDF,0,0,0,0,0,0,1,20220715,20220930
BexU,1,1,1,1,1,0,0,20220715,20220930
BexS,0,0,0,0,0,1,0,20220715,20220930
BexDF,0,0,0,0,0,0,1,20220715,20220930
EU,1,1,1,1,1,0,0,20220715,20220930
ES,0,0,0,0,0,1,0,20220715,20220930
EDF,0,0,0,0,0,0,1,20220715,20220930
CU,1,1,1,1,1,0,0,20220715,20220930
CS,0,0,0,0,0,1,0,20220715,20220930
CDF,0,0,0,0,0,0,1,20220715,20220930
CUF,1,1,1,1,1,0,0,20220715,20220930
CSF,0,0,0,0,0,1,0,20220715,20220930
FU,1,1,1,1,1,0,0,20220715,20220930
FS,0,0,0,0,0,1,0,20220715,20220930
FDF,0,0,0,0,0,0,1,20220715,20220930
CDFF,0,0,0,0,0,0,1,20220715,20220930
