service_id,date,exception_type
ADF,20211005,1
ADFT,20211005,1
AS,20211005,2
AST,20211005,2
AU,20211005,2
AUT,20211005,2
BDF,20211005,1
BexDF,20211005,1
BexS,20211005,2
BexU,20211005,2
BS,20211005,2
BU,20211005,2
CDF,20211005,1
CS,20211005,2
CSF,20211005,2
CU,20211005,2
CUF,20211005,2
DDF,20211005,1
DS,20211005,2
DU,20211005,2
EDF,20211005,1
ES,20211005,2
EU,20211005,2
FDF,20211005,1
FS,20211005,2
FU,20211005,2
ADF,20211101,1
ADFT,20211101,1
AS,20211101,2
AST,20211101,2
AU,20211101,2
AUT,20211101,2
BDF,20211101,1
BexDF,20211101,1
BexS,20211101,2
BexU,20211101,2
BS,20211101,2
BU,20211101,2
CDF,20211101,1
CS,20211101,2
CSF,20211101,2
CU,20211101,2
CUF,20211101,2
DDF,20211101,1
DS,20211101,2
DU,20211101,2
EDF,20211101,1
ES,20211101,2
EU,20211101,2
FDF,20211101,1
FS,20211101,2
FU,20211101,2
ADF,20211201,1
ADFT,20211201,1
AS,20211201,2
AST,20211201,2
AU,20211201,2
AUT,20211201,2
BDF,20211201,1
BexDF,20211201,1
BexS,20211201,2
BexU,20211201,2
BS,20211201,2
BU,20211201,2
CDF,20211201,1
CS,20211201,2
CSF,20211201,2
CU,20211201,2
CUF,20211201,2
DDF,20211201,1
DS,20211201,2
DU,20211201,2
EDF,20211201,1
ES,20211201,2
EU,20211201,2
FDF,20211201,1
FS,20211201,2
FU,20211201,2
ADF,20211208,1
ADFT,20211208,1
AS,20211208,2
AST,20211208,2
AU,20211208,2
AUT,20211208,2
BDF,20211208,1
BexDF,20211208,1
BexS,20211208,2
BexU,20211208,2
BS,20211208,2
BU,20211208,2
CDF,20211208,1
CS,20211208,2
CSF,20211208,2
CU,20211208,2
CUF,20211208,2
DDF,20211208,1
DS,20211208,2
DU,20211208,2
EDF,20211208,1
ES,20211208,2
EU,20211208,2
FDF,20211208,1
FS,20211208,2
FU,20211208,2
ADF,20211225,1
ADFT,20211225,1
AS,20211225,2
AST,20211225,2
AU,20211225,2
AUT,20211225,2
BDF,20211225,1
BexDF,20211225,1
BexS,20211225,2
BexU,20211225,2
BS,20211225,2
BU,20211225,2
CDF,20211225,1
CS,20211225,2
CSF,20211225,2
CU,20211225,2
CUF,20211225,2
DDF,20211225,1
DS,20211225,2
DU,20211225,2
EDF,20211225,1
ES,20211225,2
EU,20211225,2
FDF,20211225,1
FS,20211225,2
FU,20211225,2
ADF,20220101,1
ADFT,20220101,1
AS,20220101,2
AST,20220101,2
AU,20220101,2
AUT,20220101,2
BDF,20220101,1
BexDF,20220101,1
BexS,20220101,2
BexU,20220101,2
BS,20220101,2
BU,20220101,2
CDF,20220101,1
CS,20220101,2
CSF,20220101,2
CU,20220101,2
CUF,20220101,2
DDF,20220101,1
DS,20220101,2
DU,20220101,2
EDF,20220101,1
ES,20220101,2
EU,20220101,2
FDF,20220101,1
FS,20220101,2
FU,20220101,2
ADF,20220425,1
ADFT,20220425,1
AS,20220425,2
AST,20220425,2
AU,20220425,2
AUT,20220425,2
BDF,20220425,1
BexDF,20220425,1
BexS,20220425,2
BexU,20220425,2
BS,20220425,2
BU,20220425,2
CDF,20220425,1
CS,20220425,2
CSF,20220425,2
CU,20220425,2
CUF,20220425,2
DDF,20220425,1
DS,20220425,2
DU,20220425,2
EDF,20220425,1
ES,20220425,2
EU,20220425,2
FDF,20220425,1
FS,20220425,2
FU,20220425,2
ADF,20220501,1
ADFT,20220501,1
AS,20220501,2
AST,20220501,2
AU,20220501,2
AUT,20220501,2
BDF,20220501,1
BexDF,20220501,1
BexS,20220501,2
BexU,20220501,2
BS,20220501,2
BU,20220501,2
CDF,20220501,1
CS,20220501,2
CSF,20220501,2
CU,20220501,2
CUF,20220501,2
DDF,20220501,1
DS,20220501,2
DU,20220501,2
EDF,20220501,1
ES,20220501,2
EU,20220501,2
FDF,20220501,1
FS,20220501,2
FU,20220501,2
ADF,20220610,1
ADFT,20220610,1
AS,20220610,2
AST,20220610,2
AU,20220610,2
AUT,20220610,2
BDF,20220610,1
BexDF,20220610,1
BexS,20220610,2
BexU,20220610,2
BS,20220610,2
BU,20220610,2
CDF,20220610,1
CS,20220610,2
CSF,20220610,2
CU,20220610,2
CUF,20220610,2
DDF,20220610,1
DS,20220610,2
DU,20220610,2
EDF,20220610,1
ES,20220610,2
EU,20220610,2
FDF,20220610,1
FS,20220610,2
FU,20220610,2
ADF,20220815,1
ADFT,20220815,1
AS,20220815,2
AST,20220815,2
AU,20220815,2
AUT,20220815,2
BDF,20220815,1
BexDF,20220815,1
BexS,20220815,2
BexU,20220815,2
BS,20220815,2
BU,20220815,2
CDF,20220815,1
CS,20220815,2
CSF,20220815,2
CU,20220815,2
CUF,20220815,2
DDF,20220815,1
DS,20220815,2
DU,20220815,2
EDF,20220815,1
ES,20220815,2
EU,20220815,2
FDF,20220815,1
FS,20220815,2
FU,20220815,2
CDFF,20220815,1
ADF,20220624,1
ADFT,20220624,1
AS,20220624,2
AST,20220624,2
AU,20220624,2
AUT,20220624,2
BDF,20220624,1
BexDF,20220624,1
BexS,20220624,2
BexU,20220624,2
BS,20220624,2
BU,20220624,2
CDF,20220624,1
CS,20220624,2
CSF,20220624,2
CU,20220624,2
CUF,20220624,2
DDF,20220624,1
DS,20220624,2
DU,20220624,2
EDF,20220624,1
ES,20220624,2
EU,20220624,2
FDF,20220624,1
FS,20220624,2
FU,20220624,2
CDFF,20220624,1
