trip_id,start_time,end_time,headway_secs
DU0,06:00:00,06:59:00,600
DU0,07:00:00,19:59:00,420
DU0,20:00:00,25:00:00,600
DU1,06:00:00,06:59:00,600
DU1,07:00:00,19:59:00,420
DU1,20:00:00,25:00:00,600
DS0,06:00:00,06:59:00,900
DS0,07:00:00,23:59:00,600
DS0,24:00:00,25:00:00,900
DS1,06:00:00,06:59:00,900
DS1,07:00:00,23:59:00,600
DS1,24:00:00,25:00:00,900
DDF0,06:00:00,06:59:00,900
DDF0,07:00:00,23:59:00,600
DDF0,24:00:00,25:00:00,900
DDF1,06:00:00,06:59:00,900
DDF1,07:00:00,23:59:00,600
DDF1,24:00:00,25:00:00,900
AU0,06:00:00,16:59:00,900
AU0,17:00:00,19:59:00,600
AU0,20:00:00,25:00:00,900
AU1,05:55:00,16:59:00,900
AU1,17:00:00,19:59:00,600
AU1,20:00:00,25:00:00,900
AS0,06:00:00,25:00:00,900
AS1,05:55:00,25:00:00,900
ADF0,06:00:00,25:00:00,900
ADF1,05:55:00,25:00:00,900
FGIA0,08:00:00,20:00:00,480
FGIA1,08:00:00,20:00:00,480
FGIB0,08:00:00,24:00:00,480
FGIB1,08:00:00,24:00:00,480
FGVA0,08:00:00,22:00:00,480
FGVA1,08:00:00,22:00:00,480
FGVB0,08:00:00,24:00:00,480
FGVB1,08:00:00,24:00:00,480
