shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
A,41.160716,-8.582416,0,
A,41.150537,-8.586245,1,
A,41.146697,-8.592978,2,
A,41.148796,-8.598349,3,
A,41.149785,-8.605901,4,
A,41.152277,-8.609299,5,
A,41.157107,-8.616723,6,
A,41.158585,-8.622246,7,
A,41.160575,-8.628282,8,
A,41.165549,-8.636347,9,
A,41.172962,-8.641766,10,
A,41.177255,-8.646498,11,
A,41.182422,-8.652149,12,
A,41.188101,-8.654466,13,
A,41.190237,-8.661037,14,
A,41.185769,-8.661189,15,
A,41.180381,-8.666232,16,
A,41.179107,-8.673546,17,
A,41.180698,-8.681227,18,
A,41.180171,-8.688553,19,
A,41.183908,-8.691469,20,
A,41.187484,-8.693391,21,
A,41.188205,-8.685123,22,
B,41.160716,-8.582416,0,
B,41.150537,-8.586245,1,
B,41.146697,-8.592978,2,
B,41.148796,-8.598349,3,
B,41.149785,-8.605901,4,
B,41.152277,-8.609299,5,
B,41.157107,-8.616723,6,
B,41.158585,-8.622246,7,
B,41.160575,-8.628282,8,
B,41.165549,-8.636347,9,
B,41.172962,-8.641766,10,
B,41.177255,-8.646498,11,
B,41.182422,-8.652149,12,
B,41.188101,-8.654466,13,
B,41.194161,-8.655771,14,
B,41.200294,-8.655559,15,
B,41.216067,-8.654541,16,
B,41.233013,-8.656593,17,
B,41.238246,-8.658212,18,
B,41.246233,-8.661807,19,
B,41.254953,-8.668018,20,
B,41.270297,-8.679515,21,
B,41.285251,-8.693703,22,
B,41.293684,-8.699238,23,
B,41.300492,-8.704004,24,
B,41.315077,-8.714209,25,
B,41.321222,-8.718681,26,
B,41.334225,-8.720721,27,
B,41.340402,-8.725555,28,
B,41.345965,-8.728122,29,
B,41.353983,-8.735826,30,
B,41.359096,-8.73987,31,
B,41.364643,-8.745225,32,
B,41.368953,-8.749558,33,
B,41.373456,-8.754122,34,
B,41.378126,-8.758081,35,
C,41.150537,-8.586245,0,
C,41.146697,-8.592978,1,
C,41.148796,-8.598349,2,
C,41.149785,-8.605901,3,
C,41.152277,-8.609299,4,
C,41.157107,-8.616723,5,
C,41.158585,-8.622246,6,
C,41.160575,-8.628282,7,
C,41.165549,-8.636347,8,
C,41.172962,-8.641766,9,
C,41.177255,-8.646498,10,
C,41.182422,-8.652149,11,
C,41.188101,-8.654466,12,
C,41.194161,-8.655771,13,
C,41.200698,-8.649703,14,
C,41.208234,-8.647122,15,
C,41.216907,-8.640978,16,
C,41.222341,-8.638996,17,
C,41.229019,-8.626897,18,
C,41.234634,-8.623937,19,
C,41.243968,-8.628555,20,
C,41.253577,-8.628308,21,
C,41.262749,-8.616986,22,
C,41.268905,-8.615387,23,
D,41.115548,-8.606555,0,
D,41.11966,-8.60623,1,
D,41.126058,-8.605627,2,
D,41.129666,-8.606116,3,
D,41.133871,-8.607489,4,
D,41.137639,-8.608646,5,
D,41.144938,-8.610815,6,
D,41.148581,-8.610945,7,
D,41.152277,-8.609299,8,
D,41.157219,-8.609141,9,
D,41.161123,-8.604272,10,
D,41.165301,-8.598464,11,
D,41.169684,-8.598744,12,
D,41.174247,-8.603607,13,
D,41.181253,-8.604521,14,
D,41.18326,-8.60224,15,
E,41.160716,-8.582416,0,
E,41.150537,-8.586245,1,
E,41.146697,-8.592978,2,
E,41.148796,-8.598349,3,
E,41.149785,-8.605901,4,
E,41.152277,-8.609299,5,
E,41.157107,-8.616723,6,
E,41.158585,-8.622246,7,
E,41.160575,-8.628282,8,
E,41.165549,-8.636347,9,
E,41.172962,-8.641766,10,
E,41.177255,-8.646498,11,
E,41.182422,-8.652149,12,
E,41.188101,-8.654466,13,
E,41.194161,-8.655771,14,
E,41.200294,-8.655559,15,
E,41.216067,-8.654541,16,
E,41.233013,-8.656593,17,
E,41.238246,-8.658212,18,
E,41.237524,-8.665208,19,
E,41.237077,-8.669442,20,
F,41.1713,-8.542938,0,
F,41.175157,-8.541962,1,
F,41.179825,-8.543604,2,
F,41.18557,-8.545892,3,
F,41.183452,-8.553955,4,
F,41.179422,-8.560264,5,
F,41.175758,-8.56212,6,
F,41.174122,-8.573534,7,
F,41.170767,-8.577317,8,
F,41.165712,-8.578639,9,
F,41.160716,-8.582416,10,
F,41.150537,-8.586245,11,
F,41.146697,-8.592978,12,
F,41.148796,-8.598349,13,
F,41.149785,-8.605901,14,
F,41.152277,-8.609299,15,
F,41.157107,-8.616723,16,
F,41.158585,-8.622246,17,
F,41.160575,-8.628282,18,
F,41.165549,-8.636347,19,
F,41.172962,-8.641766,20,
F,41.177255,-8.646498,21,
F,41.182422,-8.652149,22,
F,41.188101,-8.654466,23,
