route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
D,DU,DU0,IPO,0,,D
D,DU,DU1,Santo Ovidio,1,,D
D,DS,DS0,IPO,0,,D
D,DS,DS1,Santo Ovidio,1,,D
D,DDF,DDF0,IPO,0,,D
D,DDF,DDF1,Santo Ovidio,1,,D
FG,FGInvernoA,FGIA0,Batalha,0,,
FG,FGInvernoA,FGIA1,Ribeira,1,,
FG,FGInvernoB,FGIB0,Batalha,0,,
FG,FGInvernoB,FGIB1,Ribeira,1,,
FG,FGVeraoA,FGVA0,Batalha,0,,
FG,FGVeraoA,FGVA1,Ribeira,1,,
FG,FGVeraoB,FGVB0,Batalha,0,,
FG,FGVeraoB,FGVB1,Ribeira,1,,
A,AU,AU0,Senhor de Matosinhos,0,,A
A,AU,AU1,Estadio do Dragao,1,,A
A,AS,AS0,Senhor de Matosinhos,0,,A
A,AS,AS1,Estadio do Dragao,1,,A
A,ADF,ADF0,Senhor de Matosinhos,0,,A
A,ADF,ADF1,Estadio do Dragao,1,,A
B,BU,BU0,Povoa de Varzim,0,,B
B,BU,BU1,Estadio do Dragao,1,,B
B,BU,BU2,Povoa de Varzim,0,,B
B,BU,BU3,Estadio do Dragao,1,,B
B,BU,BU4,Povoa de Varzim,0,,B
B,BU,BU5,Estadio do Dragao,1,,B
B,BU,BU6,Povoa de Varzim,0,,B
B,BU,BU7,Estadio do Dragao,1,,B
B,BU,BU8,Povoa de Varzim,0,,B
B,BU,BU9,Estadio do Dragao,1,,B
B,BU,BU10,Povoa de Varzim,0,,B
B,BU,BU11,Estadio do Dragao,1,,B
B,BU,BU12,Povoa de Varzim,0,,B
B,BU,BU13,Estadio do Dragao,1,,B
B,BU,BU14,Povoa de Varzim,0,,B
B,BU,BU15,Estadio do Dragao,1,,B
B,BU,BU16,Povoa de Varzim,0,,B
B,BU,BU17,Estadio do Dragao,1,,B
B,BU,BU18,Povoa de Varzim,0,,B
B,BU,BU19,Estadio do Dragao,1,,B
B,BU,BU20,Povoa de Varzim,0,,B
