service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BDF,0,0,0,0,0,0,1,20230911,20240714
CDF,0,0,0,0,0,0,1,20230911,20240714
DDF,0,0,0,0,0,0,1,20230911,20240714
FDF,0,0,0,0,0,0,1,20230911,20240714
EDF,0,0,0,0,0,0,1,20230911,20240714
ADF,0,0,0,0,0,0,1,20230911,20240714
BS,0,0,0,0,0,1,0,20230911,20240714
CS,0,0,0,0,0,1,0,20230911,20240714
DS,0,0,0,0,0,1,0,20230911,20240714
FS,0,0,0,0,0,1,0,20230911,20240714
ES,0,0,0,0,0,1,0,20230911,20240714
AS,0,0,0,0,0,1,0,20230911,20240714
BU,1,1,1,1,1,0,0,20230911,20240714
BexpU,1,1,1,1,1,0,0,20230911,20240714
CU,1,1,1,1,1,0,0,20230911,20240714
DU,1,1,1,1,1,0,0,20230911,20240714
FU,1,1,1,1,1,0,0,20230911,20240714
EU,1,1,1,1,1,0,0,20230911,20240714
AU,1,1,1,1,1,0,0,20230911,20240714
