service_id,date,exception_type
ADF,20231005,1
ADFT,20231005,1
AS,20231005,2
AU,20231005,2
BDF,20231005,1
BexDF,20231005,1
BS,20231005,2
BU,20231005,2
CDF,20231005,1
CS,20231005,2
CU,20231005,2
DDF,20231005,1
DS,20231005,2
DU,20231005,2
EDF,20231005,1
ES,20231005,2
EU,20231005,2
FDF,20231005,1
FS,20231005,2
FU,20231005,2
ADF,20231101,1
ADFT,20231101,1
AS,20231101,2
AU,20231101,2
BDF,20231101,1
BexDF,20231101,1
BS,20231101,2
BU,20231101,2
CDF,20231101,1
CS,20231101,2
CU,20231101,2
DDF,20231101,1
DS,20231101,2
DU,20231101,2
EDF,20231101,1
ES,20231101,2
EU,20231101,2
FDF,20231101,1
FS,20231101,2
FU,20231101,2
ADF,20231201,1
ADFT,20231201,1
AS,20231201,2
AU,20231201,2
BDF,20231201,1
BexDF,20231201,1
BS,20231201,2
BU,20231201,2
CDF,20231201,1
CS,20231201,2
CU,20231201,2
DDF,20231201,1
DS,20231201,2
DU,20231201,2
EDF,20231201,1
ES,20231201,2
EU,20231201,2
FDF,20231201,1
FS,20231201,2
FU,20231201,2
ADF,20231208,1
ADFT,20231208,1
AS,20231208,2
AU,20231208,2
BDF,20231208,1
BexDF,20231208,1
BS,20231208,2
BU,20231208,2
CDF,20231208,1
CS,20231208,2
CU,20231208,2
DDF,20231208,1
DS,20231208,2
DU,20231208,2
EDF,20231208,1
ES,20231208,2
EU,20231208,2
FDF,20231208,1
FS,20231208,2
FU,20231208,2
ADF,20231225,1
ADFT,20231225,1
AS,20231225,2
AU,20231225,2
BDF,20231225,1
BexDF,20231225,1
BS,20231225,2
BU,20231225,2
CDF,20231225,1
CS,20231225,2
CU,20231225,2
DDF,20231225,1
DS,20231225,2
DU,20231225,2
EDF,20231225,1
ES,20231225,2
EU,20231225,2
FDF,20231225,1
FS,20231225,2
FU,20231225,2
ADF,20240101,1
ADFT,20240101,1
AS,20240101,2
AU,20240101,2
BDF,20240101,1
BexDF,20240101,1
BS,20240101,2
BU,20240101,2
CDF,20240101,1
CS,20240101,2
CU,20240101,2
DDF,20240101,1
DS,20240101,2
DU,20240101,2
EDF,20240101,1
ES,20240101,2
EU,20240101,2
FDF,20240101,1
FS,20240101,2
FU,20240101,2
ADF,20240425,1
ADFT,20240425,1
AS,20240425,2
AU,20240425,2
BDF,20240425,1
BexDF,20240425,1
BS,20240425,2
BU,20240425,2
CDF,20240425,1
CS,20240425,2
CU,20240425,2
DDF,20240425,1
DS,20240425,2
DU,20240425,2
EDF,20240425,1
ES,20240425,2
EU,20240425,2
FDF,20240425,1
FS,20240425,2
FU,20240425,2
ADF,20240501,1
ADFT,20240501,1
AS,20240501,2
AU,20240501,2
BDF,20240501,1
BexDF,20240501,1
BS,20240501,2
BU,20240501,2
CDF,20240501,1
CS,20240501,2
CU,20240501,2
DDF,20240501,1
DS,20240501,2
DU,20240501,2
EDF,20240501,1
ES,20240501,2
EU,20240501,2
FDF,20240501,1
FS,20240501,2
FU,20240501,2
ADF,20240610,1
ADFT,20240610,1
AS,20240610,2
AU,20240610,2
BDF,20240610,1
BexDF,20240610,1
BS,20240610,2
BU,20240610,2
CDF,20240610,1
CS,20240610,2
CU,20240610,2
DDF,20240610,1
DS,20240610,2
DU,20240610,2
EDF,20240610,1
ES,20240610,2
EU,20240610,2
FDF,20240610,1
FS,20240610,2
FU,20240610,2
ADF,20240815,1
ADFT,20240815,1
AS,20240815,2
AU,20240815,2
BDF,20240815,1
BexDF,20240815,1
BS,20240815,2
BU,20240815,2
CDF,20240815,1
CS,20240815,2
CU,20240815,2
DDF,20240815,1
DS,20240815,2
DU,20240815,2
EDF,20240815,1
ES,20240815,2
EU,20240815,2
FDF,20240815,1
FS,20240815,2
FU,20240815,2
CDFF,20240815,1
ADF,20240624,1
ADFT,20240624,1
AS,20240624,2
AU,20240624,2
BDF,20240624,1
BexDF,20240624,1
BS,20240624,2
BU,20240624,2
CDF,20240624,1
CS,20240624,2
CU,20240624,2
DDF,20240624,1
DS,20240624,2
DU,20240624,2
EDF,20240624,1
ES,20240624,2
EU,20240624,2
FDF,20240624,1
FS,20240624,2
FU,20240624,2
CDFF,20240624,1
