stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url
4CAM4,4CAM4,4 CAMINHOS,41.2060833350949,-8.52883330308102,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=4CAM4
MSHP4,MSHP4,MAIASHOPPING,41.2194405434845,-8.55887769960695,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MSHP4
FND2,FND2,FUNDIÇÃO,41.2089943722156,-8.52977840318358,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FND2
CHAO2,CHAO2,CHÃOS,41.2102777684921,-8.53830548898931,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CHAO2
CHAO1,CHAO1,CHÃOS,41.2101666726505,-8.53824995371821,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CHAO1
PHIP2,PHIP2,PEDRO HISPANO,41.2282777979493,-8.56302771984117,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PHIP2
PVH2,PVH2,PAVILHÃO CPN,41.2074972678696,-8.55576768801765,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PVH2
CML2,CML2,CAMÉLIAS,41.2174040563476,-8.55888115091449,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CML2
PINH1,PINH1,PINHEIRO,41.2192732548318,-8.54313978803768,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PINH1
VASG1,VASG1,VASCO DA GAMA,41.2164127902587,-8.55133348886958,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=VASG1
GAN1,GAN1,GANDRA,41.2156554633779,-8.55938586971853,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=GAN1
PML1,PML1,PALMILHEIRA,41.2047328123087,-8.55627777544555,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PML1
CML1,CML1,CAMÉLIAS,41.2172199903838,-8.5586923781994,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CML1
9AG2,9AG2,9 DE AGOSTO,41.211923465861,-8.5321862658401,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=9AG2
SONH,SONH,SONHOS,41.2165350590089,-8.54150459023627,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SONH
ERMI1,ERMI1,ERMESINDE (IGREJA),41.2194443876167,-8.55336104557167,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ERMI1
STNH2,STNH2,SOUTINHO,41.2220161868837,-8.54324331114476,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=STNH2
ADNV1,ADNV1,ALDEIA NOVA,41.2296216079737,-8.52763169539429,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ADNV1
COD,COD,LGO DA CODICEIRA,41.2446259727168,-8.51981746031211,VLG2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=COD
TAZ1,TAZ1,TAPADA AZEVEDO,41.2021944418676,-8.52688893390746,VLG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TAZ1
FS1,FS1,FLOR DA SERRA,41.1963610720045,-8.52069443864112,VLG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FS1
ASRR3,ASRR3,ALTO DA SERRA,41.1944999417581,-8.5181666312086,VLG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ASRR3
ACB1,ACB1,AREIAS CABEDELO,41.1318661786014,-8.66324966193015,VNG5,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ACB1
CCL,CCL,CANCELINHAS,41.1313908532118,-8.65174076826175,VNG5,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CCL
PRMR1,PRMR1,PR. M. SILVA REIS,41.1275834799874,-8.63215370727074,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PRMR1
RFL2,RFL2,R. FONTE LODOSA,41.1314984990559,-8.63689173088316,VNG5,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RFL2
RFL1,RFL1,R. FONTE LODOSA,41.1317970398683,-8.63657247126707,VNG5,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RFL1
PTD1,PTD1,PITADA,41.1135785480907,-8.63514708674817,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PTD1
CVO,CVO,CARVALHEIRO,41.1018921782621,-8.64769102585152,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CVO
RMT3,RMT3,R. DAS MATAS,41.1208611198557,-8.63286115190462,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RMT3
MLH2,MLH2,MOLHE,41.1595541326034,-8.68392850948585,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLH2
PJGL2,PJGL2,PARQUE J. G. LARANJO,41.1844444503225,-8.66191666047981,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PJGL2
BPTL1,BPTL1,BR. DA PASTELEIRA,41.1550733612398,-8.65818545651445,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BPTL1
RCTL1,RCTL1,R.CRISTAL,41.2248590867719,-8.56985514030953,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RCTL1
RCTL2,RCTL2,R.CRISTAL,41.2248332927898,-8.570055565126,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RCTL2
BPTL2,BPTL2,BR. DA PASTELEIRA,41.1548942923963,-8.65819951176446,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BPTL2
FRX4,FRX4,FREIXO,41.1465229754178,-8.57961908936269,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FRX4
IGRT2,IGRT2,IGREJA RIO TINTO,41.1773808930327,-8.55989953405834,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=IGRT2
BSS3,BSS3,BESSA,41.1603155941231,-8.64297734965846,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BSS3
FOCO2,FOCO2,FOCO,41.1611110785907,-8.64747220455906,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FOCO2
TRI1,TRI1,TRIANA,41.1886603694033,-8.58058625013663,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TRI1
TRBG2,TRBG2,TRIBUNAL DE GAIA,41.1289444563532,-8.61186113572901,VNG1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TRBG2
PND1,PND1,PENEDOS,41.2238647738286,-8.60486501971136,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PND1
FBC1,FBC1,FÁBRICA DO COBRE,41.1692813105392,-8.57073806146323,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FBC1
ISCP1,ISCP1,ISCAP,41.1890126124855,-8.59904458670606,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ISCP1
CNSL2,CNSL2,CONSOLATA,41.2095067002579,-8.56504507018382,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CNSL2
VDTM1,VDTM1,ESPOSADE (METRO),41.2158888666956,-8.65680558568502,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=VDTM1
PCNS,PCNS,PISCINAS,41.1788839886411,-8.56006424930347,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PCNS
RRDL1,RRDL1,R.RODELO,41.1152396745841,-8.64593466379898,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RRDL1
PSEC1,PSEC1,PONTE SECA,41.18302776474,-8.46916665315082,VLG3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PSEC1
RBO2,RBO2,RIBEIRO,41.2048055692402,-8.6667221993513,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RBO2
RBX2,RBX2,RECAREI BAIXO,41.2029062209637,-8.6334848671592,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RBX2
CPTO,CPTO,CERCO DO PORTO,41.1598889053011,-8.57030558815635,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CPTO
SAL1,SAL1,SALGUEIROS,41.1696620173775,-8.598969320678,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SAL1
CUTM2,CUTM2,CUTAMAS,41.1899695370509,-8.5915807978891,MAI4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CUTM2
ALFG2,ALFG2,ALFÂNDEGA,41.143949847913,-8.62273725297333,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ALFG2
ARJ2,ARJ2,ARAÚJO,41.219275120442,-8.63722617822598,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ARJ2
BELA1,BELA1,BELA,41.0936199201743,-8.64802469086573,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BELA1
ACBL1,ACBL1,ÁLVARES CABRAL,41.0856289896898,-8.65588778642169,VNG4,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ACBL1
DACM1,DACM1,DR. A. COSTA MAIA,41.2455989654459,-8.66485278443098,VCD8,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DACM1
RGD1,RGD1,REGADAS,41.182609007138,-8.52887758149801,GDM1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RGD1
MGDE1,MGDE1,MONTE GRANDE,41.2297351710969,-8.64238723883717,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MGDE1
MTLB2,MTLB2,MOSTEIRO LEÇA DO BALIO,41.2104508357686,-8.62442806494772,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MTLB2
MTLB1,MTLB1,MOSTEIRO LEÇA DO BALIO,41.2105833571365,-8.62422218616752,MAI1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MTLB1
