from_stop_id,to_stop_id,transfer_type
INF1,CAVE4,3
MFB2,CAVE4,3
RBRI1,CAVE4,3
INF1,LGAJ3,3
MFB2,LGAJ3,3
RBRI1,LGAJ3,3
ALFG1,VTC2,3
INF1,VTC2,3
ALFG5,VTC2,3
RBRI1,VTC2,3
PARR2,CHAS3,3
ALFG1,FTN2,3
INF1,FTN2,3
ALFG5,FTN2,3
RBRI1,FTN2,3
BIC2,NOC,3
PARR2,NOC,3
MCE3,NOC,3
MCE4,NOC,3
ENCO2,NOC,3
PARR4,NOC,3
INF1,GNR1,3
ALM1,ESPL2,3
INF1,SRP,3
MFB2,SRP,3
RBRI1,SRP,3
BIC2,CHAS1,3
PARR2,CHAS1,3
ENCO2,CHAS1,3
PARR4,CHAS1,3
CAIS1,ARRB1,3
INF1,GNR2,3
MFB2,GNR2,3
ALM1,ESPL1,3
INF1,PLU2,3
MFB2,PLU2,3
RBRI1,PLU2,3
INF1,CVPR1,3
MFB2,CVPR1,3
RBRI1,CVPR1,3
MRG1,CAVE4,3
RBRI2,CAVE4,3
RBR2,CAVE4,3
ELVG1,QSPL2,3
MRG1,LGAJ3,3
RBRI2,LGAJ3,3
RBR2,LGAJ3,3
MRG1,VTC2,3
RBRI2,VTC2,3
MRG1,FTN2,3
RBRI2,FTN2,3
MCE2,NOC,3
BIC1,NOC,3
BIC3,NOC,3
ELVG1,GNR1,3
RBR2,GNR1,3
PTDM1,ESPL2,3
PTDM2,ESPL2,3
MRG1,SRP,3
RBRI2,SRP,3
RBR2,SRP,3
ELVG1,QSPL1,3
BIC1,CHAS1,3
BIC3,CHAS1,3
ELVG1,JMRR2,3
MCE2,ARRB1,3
ELVG1,GNR2,3
RBR2,GNR2,3
PTDM1,ESPL1,3
PTDM2,ESPL1,3
ELVG1,JMRR1,3
ELVG1,PLU2,3
RBRI2,PLU2,3
RBR2,PLU2,3
MRG1,CVPR1,3
ELVG1,CVPR1,3
RBRI2,CVPR1,3
RBR2,CVPR1,3
GND1,QSPL2,3
PARR3,CHAS3,3
ENCO4,CHAS3,3
ENCO1,CHAS3,3
PARR3,NOC,3
FCA,NOC,3
BIC4,NOC,3
ENCO3,NOC,3
ENCO4,NOC,3
ENCO1,NOC,3
GND1,ESPL2,3
ALM2,ESPL2,3
LPDZ,QSPL1,3
GND1,QSPL1,3
ALM2,QSPL1,3
PARR3,CHAS1,3
BIC4,CHAS1,3
ENCO3,CHAS1,3
ENCO4,CHAS1,3
ENCO1,CHAS1,3
GND1,JMRR2,3
GND1,ESPL1,3
ALM2,ESPL1,3
LPDZ,PLU2,3
GND1,PLU2,3
MS2,PLU2,3
LPDZ,CVPR1,3
MS2,CVPR1,3
MRG2,CAVE4,3
RBR1,CAVE4,3
ELVG2,QSPL2,3
GND2,QSPL2,3
MRG2,LGAJ3,3
