route_id,direction_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,shape_id
107,1,DOMVERAO,107_1_Y_26,Estádio do Dragão,1,,107_1_1_shp
107,0,DOMVERAO,107_0_Y_27,Areias,1,,107_0_1_shp
107,1,DOMVERAO,107_1_Y_28,Estádio do Dragão,1,,107_1_1_shp
107,0,DOMVERAO,107_0_Y_29,Areias,1,,107_0_1_shp
107,0,DOMVERAO,107_0_Y_30,Areias,1,,107_0_1_shp
107,1,DOMVERAO,107_1_Y_31,Estádio do Dragão,1,,107_1_1_shp
107,0,DOMVERAO,107_0_Y_32,Areias,1,,107_0_1_shp
107,1,DOMVERAO,107_1_Y_33,Estádio do Dragão,1,,107_1_1_shp
107,0,DOMVERAO,107_0_Y_34,Areias,1,,107_0_1_shp
10M,0,DOMVERAO,10M_0_Y_1,Vila D'Este,1,,10M_0_1_shp
10M,1,DOMVERAO,10M_1_Y_2,Aliados,1,,10M_1_1_shp
10M,0,DOMVERAO,10M_0_Y_3,Vila D'Este,1,,10M_0_1_shp
10M,1,DOMVERAO,10M_1_Y_4,Aliados,1,,10M_1_1_shp
10M,0,DOMVERAO,10M_0_Y_5,Vila D'Este,1,,10M_0_1_shp
10M,1,DOMVERAO,10M_1_Y_6,Aliados,1,,10M_1_1_shp
10M,0,DOMVERAO,10M_0_Y_7,Vila D'Este,1,,10M_0_1_shp
10M,1,DOMVERAO,10M_1_Y_8,Aliados,1,,10M_1_1_shp
10M,0,DOMVERAO,10M_0_Y_9,Vila D'Este,1,,10M_0_1_shp
10M,1,DOMVERAO,10M_1_Y_10,Aliados,1,,10M_1_1_shp
11M,0,DOMVERAO,11M_0_Y_1,Coimbrões,1,,11M_0_1_shp
11M,1,DOMVERAO,11M_1_Y_2,Hosp. S. João,1,,11M_1_1_shp
11M,0,DOMVERAO,11M_0_Y_3,Coimbrões,1,,11M_0_1_shp
11M,1,DOMVERAO,11M_1_Y_4,Hosp. S. João,1,,11M_1_1_shp
11M,0,DOMVERAO,11M_0_Y_5,Coimbrões,1,,11M_0_1_shp
11M,1,DOMVERAO,11M_1_Y_6,Hosp. S. João,1,,11M_1_1_shp
11M,0,DOMVERAO,11M_0_Y_7,Coimbrões,1,,11M_0_1_shp
11M,1,DOMVERAO,11M_1_Y_8,Hosp. S. João,1,,11M_1_1_shp
11M,0,DOMVERAO,11M_0_Y_9,Coimbrões,1,,11M_0_1_shp
11M,1,DOMVERAO,11M_1_Y_10,Hosp. S. João,1,,11M_1_1_shp
12M,1,DOMVERAO,12M_1_Y_1,Aliados,1,,12M_1_1_shp
12M,0,DOMVERAO,12M_0_Y_2,Sto. Ovídio,1,,12M_0_1_shp
12M,1,DOMVERAO,12M_1_Y_3,Aliados,1,,12M_1_1_shp
12M,0,DOMVERAO,12M_0_Y_4,Sto. Ovídio,1,,12M_0_1_shp
12M,1,DOMVERAO,12M_1_Y_5,Aliados,1,,12M_1_1_shp
12M,0,DOMVERAO,12M_0_Y_6,Sto. Ovídio,1,,12M_0_1_shp
12M,1,DOMVERAO,12M_1_Y_7,Aliados,1,,12M_1_1_shp
12M,0,DOMVERAO,12M_0_Y_8,Sto. Ovídio,1,,12M_0_1_shp
12M,1,DOMVERAO,12M_1_Y_9,Aliados,1,,12M_1_1_shp
12M,0,DOMVERAO,12M_0_Y_10,Sto. Ovídio,1,,12M_0_1_shp
12M,1,DOMVERAO,12M_1_Y_11,Aliados,1,,12M_1_1_shp
13M,1,DOMVERAO,13M_1_Y_1,Av.Aliados,1,,13M_1_1_shp
13M,0,DOMVERAO,13M_0_Y_2,Matosinhos (Mercado),1,,13M_0_1_shp
13M,1,DOMVERAO,13M_1_Y_3,Av.Aliados,1,,13M_1_1_shp
13M,0,DOMVERAO,13M_0_Y_4,Matosinhos (Mercado),1,,13M_0_1_shp
13M,1,DOMVERAO,13M_1_Y_5,Av.Aliados,1,,13M_1_1_shp
13M,0,DOMVERAO,13M_0_Y_6,Matosinhos (Mercado),1,,13M_0_1_shp
13M,1,DOMVERAO,13M_1_Y_7,Av.Aliados,1,,13M_1_1_shp
13M,0,DOMVERAO,13M_0_Y_8,Matosinhos (Mercado),1,,13M_0_1_shp
13M,1,DOMVERAO,13M_1_Y_9,Av.Aliados,1,,13M_1_1_shp
13M,0,DOMVERAO,13M_0_Y_10,Matosinhos (Mercado),1,,13M_0_1_shp
13M,1,DOMVERAO,13M_1_Y_11,Av.Aliados,1,,13M_1_1_shp
1M,1,DOMVERAO,1M_1_Y_1,Av. Aliados,1,,1M_1_1_shp
1M,0,DOMVERAO,1M_0_Y_2,Matosinhos (via Campo Alegre),1,,1M_0_1_shp
1M,1,DOMVERAO,1M_1_Y_3,Av. Aliados,1,,1M_1_1_shp
1M,0,DOMVERAO,1M_0_Y_4,Matosinhos (via Campo Alegre),1,,1M_0_1_shp
1M,1,DOMVERAO,1M_1_Y_5,Av. Aliados,1,,1M_1_1_shp
1M,0,DOMVERAO,1M_0_Y_6,Matosinhos (via Campo Alegre),1,,1M_0_1_shp
1M,1,DOMVERAO,1M_1_Y_7,Av. Aliados,1,,1M_1_1_shp
1M,0,DOMVERAO,1M_0_Y_8,Matosinhos (via Campo Alegre),1,,1M_0_1_shp
1M,1,DOMVERAO,1M_1_Y_9,Av. Aliados,1,,1M_1_1_shp
1M,0,DOMVERAO,1M_0_Y_10,Matosinhos (via Campo Alegre),1,,1M_0_1_shp
1M,1,DOMVERAO,1M_1_Y_11,Av. Aliados,1,,1M_1_1_shp
200,0,DOMVERAO,200_0_Y_1,Pr. Cid. Salvador,1,,200_0_1_shp
200,1,DOMVERAO,200_1_Y_2,Bolhão,1,,200_1_1_shp
200,0,DOMVERAO,200_0_Y_3,Pr. Cid. Salvador,1,,200_0_1_shp
200,1,DOMVERAO,200_1_Y_4,Bolhão,1,,200_1_1_shp
200,0,DOMVERAO,200_0_Y_5,Pr. Cid. Salvador,1,,200_0_1_shp
200,1,DOMVERAO,200_1_Y_6,Bolhão,1,,200_1_1_shp
200,0,DOMVERAO,200_0_Y_7,Pr. Cid. Salvador,1,,200_0_1_shp
202,0,DOMVERAO,202_0_Y_6,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_7,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_8,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_9,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_10,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_11,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_12,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_13,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_14,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_15,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_16,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_17,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_18,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_19,Alberto Macedo,1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_20,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_21,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_22,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_23,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_24,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_25,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_26,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_27,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_28,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_29,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_30,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_31,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_32,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_33,Aliados (via Rot. Bessa),1,,202_1_1_shp
202,0,DOMVERAO,202_0_Y_34,Passeio Alegre (via Rot. Bessa),1,,202_0_1_shp
202,1,DOMVERAO,202_1_Y_35,Aliados (via Rot. Bessa),1,,202_1_1_shp
